,fed_party,potus_party,recess,pce,ue,cars,house,cli,loan,exports,rgdp,gdpg,veloc,ffr,d_pce,d_ue,d_cars,d_house,d_cli,d_loan,d_exports,d_rgdp,d_gdpg,d_veloc,d_ffr,b0_spx,b0_usd,b1_spx,b1_usd
2014-10-29,0.0,0.0,0.0,1.68,5.7,16.756,1074.0,100.9024,3.25,3.4,2.0,0.4,6.165,0.12,-0.040000000000000036,-0.39999999999999947,-0.759999999999998,163.0,-0.015699999999995384,0.0,-5.5,-3.3,-1.9,-0.1070000000000002,0.0,1980.992247402262,79.48494532302148,-0.2639538317793068,0.05905133906585936
2014-12-17,0.0,0.0,0.0,1.6,5.6,17.178,1073.0,100.7878,3.25,3.4,2.0,0.4,6.165,0.12,-0.08999999999999986,-0.5,-0.06099999999999994,89.0,-0.15319999999999823,0.0,1.7,-3.0,-1.2999999999999998,-0.1120000000000001,0.0,1960.176686373872,82.54416706762298,0.637992764519129,0.056163861676332055
2015-01-28,0.0,0.0,0.0,1.49,5.7,16.91,1085.0,100.6969,3.25,-3.1,3.6,-0.2,6.06,0.12,-0.20999999999999996,-0.20000000000000018,-0.04899999999999949,62.0,-0.2336999999999989,0.0,-4.8,-1.4,-1.9,-0.21700000000000053,0.0,1951.6386548385062,84.46387087664866,1.0945829121690587,0.06955398962750736
2015-03-18,0.0,0.0,0.0,1.55,5.4,17.896,960.0,100.4792,3.25,-3.1,3.6,-0.2,6.06,0.12,-0.08999999999999986,-0.39999999999999947,0.9469999999999992,-41.0,-0.3774999999999977,0.0,-6.5,1.6,-0.6000000000000001,-0.10500000000000043,0.0,2043.2917958673308,86.91295134359726,0.26724434627735694,0.09230613385448813
2015-04-29,0.0,0.0,0.0,1.57,5.4,17.693,1190.0,100.3682,3.25,1.1,2.5,2.3,6.097,0.12,-0.030000000000000027,-0.1999999999999993,0.5150000000000006,117.0,-0.41960000000000264,0.0,-2.3,0.5,1.9,-0.06799999999999962,0.0,2036.1068262485987,91.69790597260739,0.5750266628189785,0.06563463312565179
2015-06-17,0.0,0.0,0.0,1.57,5.3,17.889,1205.0,100.1227,3.25,1.1,2.5,2.3,6.097,0.12,0.020000000000000018,-0.20000000000000018,0.9980000000000011,319.0,-0.4679000000000002,0.0,4.2,-1.1,2.5,0.03700000000000081,0.0,2084.4995018889667,97.24648511905706,0.20545101489678635,-0.012824672094531447
2015-07-29,0.0,0.0,0.0,1.55,5.2,18.318,1146.0,99.96289,3.25,-3.2,1.6,1.1,6.057,0.12,0.0,-0.20000000000000018,0.4220000000000006,186.0,-0.5163100000000043,0.0,-0.10000000000000009,-2.0,1.3,-0.0029999999999992255,0.0,2098.8016066780333,96.82213009053353,0.007419815660457103,-0.009839715856018713
2015-09-17,0.0,0.0,0.0,1.56,5.0,18.281,1224.0,99.61057,3.25,-3.2,1.6,1.1,6.057,0.12,0.010000000000000009,-0.5999999999999996,0.3520000000000003,145.0,-0.6401299999999992,0.0,-4.300000000000001,-0.8999999999999999,-1.1999999999999997,-0.040000000000000036,0.0,2148.174230185919,95.93397003236237,-1.3856843366867118,0.0034598936527067267
2015-10-28,0.0,0.0,0.0,1.52,5.0,18.27,1058.0,99.46815,3.25,-0.5,0.7,0.0,6.007,0.12,-0.050000000000000044,-0.2999999999999998,0.3810000000000002,-147.0,-0.6545500000000004,0.0,-1.6,-1.8,-2.3,-0.09000000000000075,0.0,2092.788597583707,97.02277433437962,-1.1452537385391892,-0.014892564563543166
2015-12-16,0.0,0.0,0.0,1.48,5.0,17.503,1146.0,99.2442,3.25,-0.5,0.7,0.0,6.007,0.12,-0.09000000000000008,-0.09999999999999964,-0.8879999999999981,16.0,-0.5392699999999877,0.0,2.7,-0.9000000000000001,-1.1,-0.05000000000000071,0.0,1942.611147443144,94.60022212708239,1.2609260894261058,0.03764472794802552
2016-01-27,0.0,0.0,0.0,1.6,4.8,18.054,1092.0,99.1592,3.5,-1.1,2.3,-0.3,5.927,0.38,0.040000000000000036,-0.20000000000000018,-0.2270000000000003,-132.0,-0.45136999999999716,0.25,2.1,0.6999999999999997,-1.4000000000000001,-0.13000000000000078,0.26,2060.18587841769,96.01727702749066,-0.6334405288774935,0.03177685441484327
2016-03-16,0.0,0.0,0.0,1.62,5.0,17.291,1111.0,99.07903,3.5,-1.1,2.3,-0.3,5.927,0.38,0.13000000000000012,-0.09999999999999964,-1.0229999999999997,-61.0,-0.26941999999999666,0.25,-0.6000000000000001,1.5999999999999999,-0.3,-0.08000000000000007,0.26,2068.2352356820434,99.47921062880363,-1.4583905069614214,-0.02149513999401626
